name,value,footnote,post,url
Total members,434,People,,/overview/membership
Total companies,389,Unique companies,,/overview/membership
Membership increase,1.6,Since last month,%,/overview/membership
Companies with 0-9 employees,37.6,Of members work in companies of this size,%,
Top industry,0,Of members work in ,%,
Geographic reach,4,placeholder,,
Advisory council,11,Members represent the network on the True North advisory council,,https://www.brabners.com/insights/true-north/true-north-advisory-council-launches
Northern stars,13,Companies have been featured as Northern Stars,,/overview/northern-stars
B Corps,14.2,Of member's organisations are B Corps or are joining,%,/themes/sustainable-growth/b-corporations
